         181553967 function calls (161947951 primitive calls) in 91.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    33215    0.007    0.000    0.039    0.000 <frozen abc>:117(__instancecheck__)
    66489    0.024    0.000    0.038    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:65(read_byte)
    16516    0.010    0.000    0.037    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:73(read_bytes)
   158095    0.037    0.000    0.037    0.000 {method 'move_to_end' of 'collections.OrderedDict' objects}
    33215    0.019    0.000    0.032    0.000 {built-in method _abc._abc_instancecheck}
    15754    0.019    0.000    0.032    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/decode.py:49(_decode_data_bytes)
   181379    0.031    0.000    0.031    0.000 {method 'update' of 'dict' objects}
   247874    0.029    0.000    0.029    0.000 {built-in method builtins.abs}
    16516    0.009    0.000    0.027    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:77(<listcomp>)
   128872    0.020    0.000    0.020    0.000 {method 'read' of '_io.BufferedReader' objects}
      103    0.001    0.000    0.020    0.000 /mnt/c/Work/guga/syxg/synth/effects/core.py:183(process_stereo_audio_vectorized)
    16552    0.007    0.000    0.019    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/midifiles.py:153(read_variable_int)
       17    0.000    0.000    0.019    0.001 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:210(_setup_partials)
      103    0.019    0.000    0.019    0.000 /mnt/c/Work/guga/syxg/synth/effects/core.py:201(<listcomp>)
       34    0.000    0.000    0.019    0.001 /mnt/c/Work/guga/syxg/synth/xg/partial_generator.py:18(__init__)
   115907    0.017    0.000    0.017    0.000 {built-in method builtins.vars}
        1    0.011    0.011    0.015    0.015 /mnt/c/Work/guga/syxg/midi_to_ogg.py:440(_collect_midi_messages)
      103    0.000    0.000    0.015    0.000 /home/roger/python/lib/python3.11/site-packages/opuslib/classes.py:172(encode)
       34    0.000    0.000    0.014    0.000 /mnt/c/Work/guga/syxg/synth/xg/partial_generator.py:146(_update_phase_step)
      103    0.014    0.000    0.014    0.000 /home/roger/python/lib/python3.11/site-packages/opuslib/api/encoder.py:99(encode)
33087/33085    0.006    0.000    0.014    0.000 <frozen abc>:121(__subclasscheck__)
    16536    0.013    0.000    0.013    0.000 {method 'tell' of '_io.BufferedReader' objects}
   127757    0.012    0.000    0.012    0.000 {built-in method _struct.unpack}
      255    0.011    0.000    0.011    0.000 {method 'fill' of 'numpy.ndarray' objects}
      103    0.005    0.000    0.011    0.000 /mnt/c/Work/guga/syxg/synth/midi/optimized_buffered_processor.py:411(get_messages_for_block)
        1    0.000    0.000    0.009    0.009 /mnt/c/Work/guga/syxg/synth/sf2/parsing/sample_parser.py:72(read_sample_data)
        1    0.006    0.006    0.009    0.009 /mnt/c/Work/guga/syxg/synth/sf2/parsing/instrument_parser.py:182(_parse_modulator_data)
        1    0.007    0.007    0.008    0.008 /mnt/c/Work/guga/syxg/synth/midi/optimized_buffered_processor.py:168(send_midi_message_block)
33087/33085    0.007    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
     1287    0.006    0.000    0.007    0.000 /mnt/c/Work/guga/syxg/synth/sf2/parsing/preset_parser.py:267(_parse_zone_modulators)
        1    0.005    0.005    0.007    0.007 /mnt/c/Work/guga/syxg/synth/sf2/parsing/instrument_parser.py:116(_parse_bag_data)
      209    0.004    0.000    0.006    0.000 {method 'sort' of 'list' objects}
    15754    0.006    0.000    0.006    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/decode.py:57(<dictcomp>)
    15754    0.006    0.000    0.006    0.000 /home/roger/python/lib/python3.11/site-packages/mido/messages/decode.py:56(<listcomp>)
      103    0.001    0.000    0.005    0.000 /mnt/c/Work/guga/syxg/synth/core/optimized_xg_synthesizer.py:428(<listcomp>)
    66489    0.004    0.000    0.004    0.000 {built-in method builtins.ord}
     1648    0.002    0.000    0.004    0.000 /mnt/c/Work/guga/syxg/synth/xg/vectorized_channel_renderer.py:381(is_active)
     7996    0.004    0.000    0.004    0.000 {built-in method _heapq.heappop}
       14    0.000    0.000    0.004    0.000 /mnt/c/Work/guga/syxg/synth/sf2/core/wavetable_manager.py:67(get_program_parameters)
     1287    0.003    0.000    0.003    0.000 /mnt/c/Work/guga/syxg/synth/sf2/types/dataclasses.py:212(__init__)
      103    0.001    0.000    0.003    0.000 /mnt/c/Work/guga/syxg/synth/midi/optimized_buffered_processor.py:292(prepare_sample_times)
        1    0.002    0.002    0.003    0.003 /mnt/c/Work/guga/syxg/synth/sf2/parsing/preset_parser.py:154(_parse_generator_data)
        1    0.003    0.003    0.003    0.003 /mnt/c/Work/guga/syxg/synth/sf2/parsing/sample_parser.py:124(<listcomp>)
      180    0.000    0.000    0.003    0.000 /mnt/c/Work/guga/syxg/synth/core/vectorized_envelope.py:309(note_on)
      376    0.001    0.000    0.003    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:2241(clip)
    16480    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x9584a0}
      103    0.002    0.000    0.003    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/function_base.py:26(linspace)
        2    0.002    0.001    0.002    0.001 {built-in method io.open}
      180    0.002    0.000    0.002    0.000 /mnt/c/Work/guga/syxg/synth/core/vectorized_envelope.py:183(note_on_vectorized)
      377    0.000    0.000    0.002    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
    24476    0.002    0.000    0.002    0.000 {built-in method _heapq.heappush}
      376    0.000    0.000    0.002    0.000 {method 'clip' of 'numpy.ndarray' objects}
    10329    0.002    0.000    0.002    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/units.py:5(tick2second)
      376    0.002    0.000    0.002    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/_core/_methods.py:98(_clip)
       90    0.001    0.000    0.002    0.000 /mnt/c/Work/guga/syxg/synth/core/vectorized_envelope.py:16(__init__)
        1    0.001    0.001    0.001    0.001 /mnt/c/Work/guga/syxg/synth/sf2/parsing/preset_parser.py:121(_parse_bag_data)
      103    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedWriter' objects}
    16526    0.001    0.000    0.001    0.000 /mnt/c/Work/guga/syxg/midi_to_ogg.py:409(<genexpr>)
       99    0.000    0.000    0.001    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:501(copy)
      136    0.000    0.000    0.001    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:479(__init__)
     3003    0.001    0.000    0.001    0.000 /mnt/c/Work/guga/syxg/synth/sf2/types/dataclasses.py:19(__init__)
     1648    0.001    0.000    0.001    0.000 /mnt/c/Work/guga/syxg/synth/voice/voice_manager.py:243(cleanup_released_voices)
       17    0.000    0.000    0.001    0.000 /mnt/c/Work/guga/syxg/synth/xg/channel_note.py:322(_initialize_envelopes)
        2    0.001    0.001    0.001    0.001 {method '__exit__' of '_io._IOBase' objects}
    16516    0.001    0.000    0.001    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/tracks.py:120(<lambda>)
      312    0.000    0.000    0.001    0.000 /home/roger/python/lib/python3.11/site-packages/mido/midifiles/meta.py:523(_setattr)
      103    0.001    0.000    0.001    0.000 /home/roger/python/lib/python3.11/site-packages/numpy/lib/_shape_base_impl.py:628(column_stack)
    16480    0.001    0.000    0.001    0.000 /mnt/c/Work/guga/syxg/midi_to_ogg.py:494(<lambda>)
        2    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
